,data_indexes,lables,Latitude,Longitude,Parent Incident Type
2573,2745,1,42.959,-78.907,Breaking & Entering
2575,2747,1,42.954,-78.879,Theft
2579,2751,1,42.921,-78.883,Theft
2602,2774,1,42.946,-78.888,Theft
2608,2781,1,42.948,-78.855,Theft
2609,2783,1,42.927,-78.877,Theft of Vehicle
2612,2786,1,42.956,-78.875,Theft of Vehicle
2616,2790,1,42.953,-78.906,Theft
2617,2791,1,42.945,-78.868,Theft
2622,2796,1,42.961,-78.901,Assault
2625,2799,1,42.958,-78.885,Assault
2628,2802,1,42.946,-78.891,Assault
2632,2806,1,42.927,-78.89,Theft
2640,2814,1,42.94,-78.902,Theft
2645,2820,1,42.963,-78.901,Theft
2655,2831,1,42.94,-78.868,Robbery
2657,2833,1,42.921,-78.891,Theft
2658,2834,1,42.939,-78.894,Theft
2661,2837,1,42.941,-78.887,Theft
2662,2838,1,42.957,-78.863,Robbery
2670,2849,1,42.959,-78.908,Assault
2671,2850,1,42.94,-78.907,Assault
2673,2852,1,42.961,-78.901,Assault
2674,2853,1,42.92,-78.89,Assault
2690,2872,1,42.927,-78.888,Robbery
2691,2873,1,42.946,-78.908,Theft
2700,2882,1,42.947,-78.869,Theft
2702,2884,1,42.956,-78.861,Theft
2704,2886,1,42.942,-78.907,Theft of Vehicle
2709,2891,1,42.942,-78.887,Theft
2719,2901,1,42.938,-78.885,Breaking & Entering
2727,2909,1,42.949,-78.873,Theft
2732,2914,1,42.932,-78.892,Breaking & Entering
2736,2918,1,42.947,-78.862,Theft of Vehicle
2737,2919,1,42.958,-78.885,Theft
2747,2929,1,42.946,-78.891,Theft
2753,2935,1,42.948,-78.89,Theft
2761,2943,1,42.953,-78.866,Theft
2771,2953,1,42.954,-78.9,Theft of Vehicle
2772,2954,1,42.928,-78.889,Theft of Vehicle
2773,2955,1,42.938,-78.899,Theft of Vehicle
2779,2961,1,42.956,-78.905,Theft
2800,2984,1,42.95,-78.864,Theft of Vehicle
2804,2988,1,42.924,-78.894,Breaking & Entering
2805,2990,1,42.928,-78.89,Theft
2814,2999,1,42.954,-78.878,Theft
2822,3007,1,42.948,-78.851,Theft
2823,3008,1,42.962,-78.903,Theft of Vehicle
2824,3009,1,42.958,-78.861,Sexual Offense
2828,3013,1,42.947,-78.872,Assault
2832,3018,1,42.94,-78.905,Homicide
2844,3033,1,42.947,-78.888,Assault
2850,3040,1,42.945,-78.886,Theft of Vehicle
2852,3042,1,42.94,-78.868,Robbery
2859,3050,1,42.919,-78.896,Assault
2865,3058,1,42.954,-78.878,Theft
2868,3061,1,42.949,-78.908,Theft
2873,3066,1,42.928,-78.89,Breaking & Entering
2879,3072,1,42.937,-78.891,Theft
2880,3073,1,42.941,-78.865,Theft
2884,3077,1,42.964,-78.897,Breaking & Entering
2885,3078,1,42.948,-78.874,Breaking & Entering
2888,3081,1,42.932,-78.892,Breaking & Entering
2890,3083,1,42.957,-78.886,Assault
2904,3097,1,42.95,-78.868,Assault
2913,3106,1,42.94,-78.907,Theft of Vehicle
2915,3109,1,42.939,-78.868,Theft
2923,3118,1,42.946,-78.894,Assault
2939,3134,1,42.951,-78.907,Theft
2942,3137,1,42.949,-78.888,Theft
2947,3142,1,42.924,-78.875,Breaking & Entering
2962,3157,1,42.926,-78.896,Breaking & Entering
